questions,question_type,id
黄体酮栓药代动力学是什么？,13,503
头孢丙烯分散片的药理毒理作用是？,7,504
复方乳酸依沙吖啶软膏孕妇能用？,11,505
比卡鲁胺胶囊有哪些注意事项?,1,506
左乙拉西坦片的不良反应是什么？,0,507
硫酸阿米卡星注射液有哪些副作用？,0,508
乳酸左氧氟沙星氯化钠注射液和甲硝唑注射液一起用有什么副作用？,0,509
症状：怕冷，肌肉酸痛，全身燥热，头胀头昏头疼，全身无力，吃欲不振。像这样的感冒吃什么药好呢？,15,510
服用灰黄霉素片，有可能出现脸部浮肿吗？有什么副作用？,0,511
蚓激酶肠溶胶囊可以经常用吗长期服用有什么坏处,16,512
法莫替丁葡萄糖注射液不良反应？,0,513
请问吃炔诺酮片的副作用有什么不？,0,514
硫酸奎尼丁片说明书？,2,515
哺乳期，乳房特别痒，是湿疹，请问可以擦哈西奈德乳膏吗?,6,516
左氧氟沙星片，有副作用？,0,517
汞溴红溶液和红霉素一起用会怎？,10,518
锯叶棕果实提取物软胶囊的用法用量?,4,519
甲磺酸培氟沙星乳膏可以和活力碘一起用？,10,520
求诺氟沙星片药品说明书,2,521
盐酸丁卡因胶浆的成份有哪些？,8,522
请问服用吲哚美辛肠溶片有什么不良反应么？怎么办,0,523
关于如何降低尼莫地平片的副作用？,0,524
盐酸甲氯芬酯胶囊对孩子遗尿有效吗有副作用？,0,525
西地那非片和枸橼酸西地那非片是一样的药吗,3,526
请问一六岁儿童在一小时内接种三针次水痘减毒活疫苗会给孩子带来多大的问题？,12,527
硝苯地平片的药理毒理？,7,528
枸橼酸氯米芬片怎么吃枸橼酸氯米芬说明书枸橼酸氯米芬片是干嘛的,2,529
服用麦考酚钠肠溶片后的不良反应有哪些？,0,530
关于去炎松软膏和那个去炎松尿素软膏一样吗的问题关于去炎松软膏和那个去炎松一样吗的问？,3,531
非普拉宗片不良反应,0,532
依诺沙星乳膏和复方水杨酸冰片软膏能混在一起用吗？,10,533
盐酸二甲双胍肠溶片过量有什么副作用,0,534
盐酸乙胺丁醇片的注意事项有哪些？,1,535
求盐酸酚苄明片药品说明书,2,536
甘草酸二铵肠溶胶囊和联苯双酯滴丸用法？,4,537
感染幽门螺旋杆菌吃什么药？,15,538
地奈德乳膏副作用大吗？,0,539
地塞米松磷酸钠注射液的药理毒理？,7,540
男性尿频尿急吃什么药？,15,541
吃索非布韦利巴韦林片饮食注意什么？,1,542
颠茄片有哪些注意事项?,1,543
求乳酸菌素颗粒剂药品说明书,2,544
右佐匹克隆片和萘哌地尔分散片可以一起吃？,10,545
孕妇补钙吃d3咀嚼钙片好还是d2乳酸钙片好？,11,546
牛皮癣抹什么药管用啊？,15,547
拉米夫定片有没有副作用？,0,548
复方炔诺酮片的副作用,0,549
普伐他汀钠片的副作用有哪些？,0,550
吡罗昔康肠溶片孕妇该如何用药？,11,551
盐酸西替利嗪片有激素？,14,552
丙硫氧嘧啶片和他吧唑哪个副作用小丙硫氧嘧啶片和他吧唑哪个？,0,553
求联苯双酯滴丸说明书?,2,554
氢化可的松可以和肝素钠乳膏一起用吗,10,555
磷酸氯喹片的不良反应是？,0,556
醋酸甲地孕酮片的注意事项有哪些？,1,557
两岁宝宝误食双氯芬酸钾片怎么办？,16,558
醋硝香豆素片注意事项？,1,559
硝酸毛果芸香碱滴眼液的禁忌有哪些,5,560
阿立哌唑片副作用大？,0,561
乙酰半胱氨酸颗粒儿童一次服一包有什么,12,562
醋酸泼尼松片治咳嗽？,6,563
请问硝酸咪康唑乳膏和盐酸特比萘芬搽剂能一起用？,10,564
达因碳酸钙泡腾颗粒和迪巧颗粒哪个好,3,565
求己酮可可碱氯化钠注射液药品说明书,2,566
茶苯海明片的成人的服用量跟儿童一样嘛？,3,567
那个灰黄霉素片它有什么副作用呢？好吗？,0,568
盐酸金霉素眼膏有激素吗？,14,569
长春西汀片的不良反应有哪些？,0,570
甲氨蝶呤注射液药代动力学是什么？,13,571
糖尿病人能服依巴斯汀片？,5,572
硫酸沙丁胺醇气雾剂有哪些注意事项?,1,573
复方醋酸地塞米松乳膏含有激素吗？,14,574
吃什么药治疗指间肌萎缩？,15,575
克林霉素磷酸酯外用溶液剂的用法用量?,4,576
葡萄糖粉剂营养成分表哪里有？,8,577
吃乳酸钙片对胃有副作用吗？,0,578
求烟酰胺葡萄糖注射液药品说明书,2,579
右旋糖酐铁片右旋糖酐铁片9岁儿童可以用吗？,12,580
天花粉蛋白注射液的副作用有哪些？,0,581
美洛昔康片不同厂家的药效一样吗,3,582
宫颈中度炎性反应性炎症该用什么药？,15,583
艾拉莫德片有何副作用?,0,584
头孢羟氨苄片用法是什么？,4,585
用氨碘肽滴眼液有什么副作用吗？,0,586
盐酸左氧氟沙星胶囊是治什么?,6,587
病毒性脑炎吃什么药？,15,588
求米芙(麦考酚钠肠溶片)药品说明书,2,589
加巴喷丁片有哪些注意事项?,1,590
丙戊酸钠片能长期吃吗问一？,16,591
石杉碱甲片（双益平）能否和复方吡拉西坦脑蛋白水解物片合用？,10,592
刚刚买了起立睾酮贴剂，听说它的成分为天然睾酮，有何好处？,8,593
卵磷脂络合碘片有什么副作用吗？,0,594
盐酸硫利达嗪片有什么不良反应？,0,595
盐酸左旋咪唑片这个药吃了有副作用吗,0,596
阿莫西林分散片与阿莫西林克拉维酸钾一样？,3,597
醋酸地塞米松片的用法用量如何呢?,4,598
盐酸特比萘芬凝胶是激素类药品吗？,14,599
求吡罗昔康注射液药品说明书,2,600
盐酸左西替利嗪颗粒有哪些作用？,6,601
阿达木单抗注射液使用起来有哪些不良反应？,0,602
求硫酸氨基葡萄糖钾胶囊药品说明书,2,603
乳腺增生带硬块用什么药,15,604
马来酸多潘立酮片能长期服用吗,16,605
盐酸头孢他美酯分散片能和甘草锌胶囊一起用吗,10,606
请问：酮洛芬肠溶胶囊含激素吗？,14,607
孕妇阴道炎能用奥硝唑阴道栓吗？,11,608
枸地氯雷他定片服用过量什么症？,9,609
富马酸比索洛尔胶囊的用法是怎样的？,4,610
碳酸钙片和维生素AD混在一起孕妇可以吃吗碳酸钙片和维生素AD混在一起孕妇可以吃？,11,611
头孢克洛分散片主要成分如何制？,8,612
儿童转移因子口服溶液怎样？,12,613
尤卓尔软膏能和尿素软膏一起用？,10,614
枸橼酸莫沙必利分散片跟吗丁啉功效一样吗枸橼酸莫沙必利分散片跟吗丁啉功效一样吗＜br？,3,615
复方樟脑软膏能治疗脑梗死？,6,616
赛庚啶乳膏含激素吗？,14,617
盐酸艾司洛尔注射液的成分是什么？,8,618
求利巴韦林含片药品说明书,2,619
